TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2026-06-25,2026-06-25,FO,NSE,STO,41087,,LAURUSLABS,,2026-07-28,2026-07-28,1460.00,PE,LAURUSLABS26JUL1460PE,57.30,60.20,54.35,54.60,54.35,54.60,1450.00,54.60,74800,11900,36,46409362.50,27,F1,850,,,,,
2026-06-25,2026-06-25,FO,NSE,STO,116617,,LAURUSLABS,,2026-07-28,2026-07-28,1550.00,PE,LAURUSLABS26JUL1550PE,0.00,0.00,0.00,101.30,101.30,101.30,1450.00,123.65,6800,0,0,0.00,0,F1,850,,,,,
2026-06-25,2026-06-25,FO,NSE,STO,116788,,LAURUSLABS,,2026-08-25,2026-08-25,1300.00,PE,LAURUSLABS26AUG1300PE,0.00,0.00,0.00,63.20,0.00,63.20,1450.00,27.50,0,0,0,0.00,0,F1,850,,,,,
2026-06-25,2026-06-25,FO,NSE,STO,137487,,LAURUSLABS,,2026-06-30,2026-06-30,1240.00,CE,LAURUSLABS26JUN1240CE,0.00,0.00,0.00,236.00,236.00,236.00,1450.00,211.10,5950,0,0,0.00,0,F1,850,,,,,
2026-06-25,2026-06-25,FO,NSE,STO,113228,,LAURUSLABS,,2026-06-30,2026-06-30,1250.00,CE,LAURUSLABS26JUN1250CE,0.00,0.00,0.00,215.00,215.00,215.00,1450.00,201.10,5950,0,0,0.00,0,F1,850,,,,,
2026-06-25,2026-06-25,FO,NSE,STO,41078,,LAURUSLABS,,2026-06-30,2026-06-30,1600.00,CE,LAURUSLABS26JUN1600CE,0.45,0.45,0.10,0.15,0.15,0.50,1450.00,0.15,96900,-191250,342,465164497.50,100,F1,850,,,,,
2026-06-25,2026-06-25,FO,NSE,STO,116383,,LAURUSLABS,,2026-07-28,2026-07-28,1270.00,CE,LAURUSLABS26JUL1270CE,0.00,0.00,0.00,156.00,0.00,156.00,1450.00,196.45,0,0,0,0.00,0,F1,850,,,,,
2026-06-25,2026-06-25,FO,NSE,STO,113337,,LAURUSLABS,,2026-07-28,2026-07-28,1280.00,CE,LAURUSLABS26JUL1280CE,0.00,0.00,0.00,120.00,120.00,120.00,1450.00,187.85,3400,0,0,0.00,0,F1,850,,,,,
2026-06-25,2026-06-25,FO,NSE,STO,116387,,LAURUSLABS,,2026-07-28,2026-07-28,1310.00,CE,LAURUSLABS26JUL1310CE,0.00,0.00,0.00,130.50,0.00,130.50,1450.00,163.00,0,0,0,0.00,0,F1,850,,,,,
2026-06-25,2026-06-25,FO,NSE,STO,116582,,LAURUSLABS,,2026-07-28,2026-07-28,1450.00,CE,LAURUSLABS26JUL1450CE,62.50,68.70,55.10,60.20,60.90,62.50,1450.00,60.20,185300,45050,235,301959015.00,197,F1,850,,,,,
2026-06-25,2026-06-25,FO,NSE,STO,116433,,LAURUSLABS,,2026-07-28,2026-07-28,1330.00,PE,LAURUSLABS26JUL1330PE,12.95,13.00,12.50,12.75,12.50,12.90,1450.00,12.75,8500,5100,7,7989277.50,7,F1,850,,,,,
